,initial_radius,acoustic_pressure,frequency,temperature,density,viscosity,surface_tension,sound_velocity,vapor_pressure,RP_dynamical_threshold,RP_mach_number,RP_near_zero,RP_max_velocity,RP_critical_transition,KM_dynamical_threshold,KM_mach_number,KM_near_zero,KM_max_velocity,KM_critical_transition,G_dynamical_threshold,G_mach_number,G_near_zero,G_max_velocity,G_critical_transition,critical_maximum,RP_expansion_radius,KM_expansion_radius,G_expansion_radius,RP_acoustic_emissions,KM_acoustic_emissions,G_acoustic_emissions,count
9298,5.222222222222223e-06,3000000.0,1780000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",1.082977339715843,"(1.2833262404148749, 5.097477771985358)",0,1,"(False, False)",-0.3858788725394865,"(-1, 4.275620709246749)",0,1,"(False, False)",-2.3226047304654083,"(2.3619822693466657, 3.420902087040426)",14.030820827840511,1,1,1,0,0,0,5
9299,5.222222222222223e-06,3000000.0,2000000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",0.9372159812291034,"(-1, 4.836904542068542)",0,1,"(False, False)",-0.6004417082523885,"(-1, 4.237854182031604)",0,1,"(False, False)",-2.116999822030344,"(1.5141424904519152, 3.205050217667603)",14.030820827840511,1,1,1,0,0,0,5
9300,7.333333333333334e-06,200000.0,20000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,0,"(False, False)",10.164614169359616,"(524238.3408230513, 2.854466684593524)",0,1,"(False, False)",-1.293198398947889,"(-1, 20.469438155844557)",0,1,"(False, False)",-2.84633107879857,"(-1, 19.515830366923947)",21.62140252320796,0,1,1,0,0,0,5
9301,7.333333333333334e-06,200000.0,240000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,0,"(False, False)",0.3477967912902928,"(-1, 6.890097282399748)",0,1,"(False, False)",-0.6560289510467602,"(2.132300739042504, 4.00689471252646)",0,1,"(False, False)",-2.64780274512079,"(2.2806564516271055, 4.077655922096884)",21.62140252320796,1,1,1,0,0,0,5
9302,7.333333333333334e-06,200000.0,460000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-1.007397546806738,"(1.2111664435661385, 3.37622022453347)",0,1,"(False, False)",-2.2300417635542846,"(1.1946245000659912, 2.8933692572318312)",1,1,"(False, False)",-4.677500795439338,"(1.4468251666342444, 2.886394784971439)",21.62140252320796,1,1,1,0,0,0,7
9303,7.333333333333334e-06,200000.0,680000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-1.3593986072585849,"(1.2916141682973874, 2.682145693651817)",1,1,"(False, False)",-4.301594991454678,"(1.9278274498042904, 1.7025638057176902)",1,1,"(False, False)",-6.066857641827214,"(1.1450351027637127, 1.9441577006644384)",21.62140252320796,1,1,1,0,1,1,10
9304,7.333333333333334e-06,200000.0,900000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-3.666490540096091,"(1.0842047313342065, 1.3576949585542915)",0,1,"(False, False)",-3.9030417992830335,"(1.0299012178181155, 1.398769633789084)",0,1,"(False, False)",-5.509346762697143,"(1.3609577119674168, 1.7203943338880743)",21.62140252320796,1,1,1,1,1,1,9
9305,7.333333333333334e-06,200000.0,1120000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,1,"(False, False)",-4.712433861791883,"(1.323131948857656, 1.2652185443197437)",1,1,"(False, False)",-4.932073604938716,"(1.3148695819718452, 1.2796425508813036)",1,1,"(False, True)",-6.683398420867245,"(1.1755149153150743, 1.3194526499566814)",21.62140252320796,1,1,1,1,1,1,12
9306,7.333333333333334e-06,200000.0,1340000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,0,1,"(False, False)",-5.156065756249636,"(1.041338295367466, 1.2044389655646865)",1,1,"(False, False)",-5.194319692560684,"(1.2479889442435301, 1.2268875900971419)",1,1,"(False, True)",-7.085674537760343,"(1.1729338272773138, 1.2155569388565024)",21.62140252320796,1,1,1,1,1,1,11
9307,7.333333333333334e-06,200000.0,1560000.0,60.0,983.1542512387372,0.0004669625807422,0.0662382625233055,1550.99953496976,3271.8,1,1,"(False, False)",-5.458610480771148,"(1.1621940829861468, 1.1621940829861468)",1,1,"(False, True)",-5.553981761122284,"(1.1704647332516918, 1.1704647332516918)",1,1,"(False, True)",-7.350385379305546,"(1.1221771706641692, 1.171606633971181)",21.62140252320796,1,1,1,1,1,1,12
